ProductID,Product Name ,Year ,Fe,Al,Cu,Other_metals,Plastics,PCB,LCD_module_CCFL,LCD_module_LED,CRT_Glass,Li_battery,Others
4, CRT TV,2009,0.06,,0.01,,0.23,0.1,,,0.6,,
4, CRT TV,2010,0.06,,0.01,,0.23,0.1,,,0.6,,
4, CRT TV,2011,0.06,,0.01,,0.23,0.1,,,0.6,,
4, CRT TV,2012,0.06,,0.01,,0.23,0.1,,,0.6,,
4, CRT TV,2013,0.06,,0.01,,0.23,0.1,,,0.6,,
4, CRT TV,2014,0.06,,0.01,,0.23,0.1,,,0.6,,
4, CRT TV,2015,0.06,,0.01,,0.23,0.1,,,0.6,,
4, CRT TV,2016,0.06,,0.01,,0.23,0.1,,,0.6,,
4, CRT TV,2017,0.06,,0.01,,0.23,0.1,,,0.6,,
4, CRT TV,2018,0.06,,0.01,,0.23,0.1,,,0.6,,
5,Desktop CPU,1980,0.54,0.1,0.04,0.01,0.19,0.1,0,,,,0.02
5,Desktop CPU,1981,0.54,0.1,0.04,0.01,0.19,0.1,0,,,,0.02
5,Desktop CPU,1982,0.54,0.1,0.04,0.01,0.19,0.1,0,,,,0.02
5,Desktop CPU,1983,0.54,0.1,0.04,0.01,0.19,0.1,0,,,,0.02
5,Desktop CPU,1984,0.54,0.1,0.04,0.01,0.19,0.1,0,,,,0.02
5,Desktop CPU,1985,0.54,0.1,0.04,0.01,0.19,0.1,0,,,,0.02
5,Desktop CPU,1986,0.54,0.1,0.04,0.01,0.19,0.1,0,,,,0.02
5,Desktop CPU,1987,0.54,0.1,0.04,0.01,0.19,0.1,0,,,,0.02
5,Desktop CPU,1988,0.54,0.1,0.04,0.01,0.19,0.1,0,,,,0.02
5,Desktop CPU,1989,0.54,0.1,0.04,0.01,0.19,0.1,0,,,,0.02
5,Desktop CPU,1990,0.54,0.1,0.04,0.01,0.19,0.1,0,,,,0.02
5,Desktop CPU,1991,0.54,0.1,0.04,0.01,0.19,0.1,0,,,,0.02
5,Desktop CPU,1992,0.54,0.1,0.04,0.01,0.19,0.1,0,,,,0.02
5,Desktop CPU,1993,0.54,0.1,0.04,0.01,0.19,0.1,0,,,,0.02
5,Desktop CPU,1994,0.54,0.1,0.04,0.01,0.19,0.1,0,,,,0.02
5,Desktop CPU,1995,0.54,0.1,0.04,0.01,0.19,0.1,0,,,,0.02
